index,url,type
0,br-icloud.com.br,phishing
1,mp3raid.com/music/krizz_kaliko.html,benign
2,bopsecrets.org/rexroth/cr/1.htm,benign
3,http://www.garage-pirenne.be/index.php?option=com_content&view=article&id=70&vsig70_0=15,defacement
4,http://adventure-nicaragua.net/index.php?option=com_mailto&tmpl=component&link=aHR0cDovL2FkdmVudHVyZS1uaWNhcmFndWEubmV0L2luZGV4LnBocD9vcHRpb249Y29tX2NvbnRlbnQmdmlldz1hcnRpY2xlJmlkPTQ3OmFib3V0JmNhdGlkP,defacement
5,http://buzzfil.net/m/show-art/ils-etaient-loin-de-s-imaginer-que-le-hibou-allait-faire-ceci-quand-ils-filmaient-2.html,benign
6,espn.go.com/nba/player/_/id/3457/brandon-rush,benign
7,yourbittorrent.com/?q=anthony-hamilton-soulife,benign
8,http://www.pashminaonline.com/pure-pashminas,defacement
9,allmusic.com/album/crazy-from-the-heat-r16990,benign
10,corporationwiki.com/Ohio/Columbus/frank-s-benson-P3333917.aspx,benign
11,http://www.ikenmijnkunst.nl/index.php/exposities/exposities-2006,defacement
12,myspace.com/video/vid/30602581,benign
13,http://www.lebensmittel-ueberwachung.de/index.php/aktuelles.1,defacement
14,http://www.szabadmunkaero.hu/cimoldal.html?start=12,defacement
15,http://larcadelcarnevale.com/catalogo/palloncini,defacement
16,quickfacts.census.gov/qfd/maps/iowa_map.html,benign
17,nugget.ca/ArticleDisplay.aspx?archive=true&e=1160966,benign
18,uk.linkedin.com/pub/steve-rubenstein/8/718/755,benign
19,http://www.vnic.co/khach-hang.html,defacement
20,baseball-reference.com/players/h/harrige01.shtml,benign
21,signin.eby.de.zukruygxctzmmqi.civpro.co.za,phishing
22,192.com/atoz/people/oakley/patrick/,benign
23,nytimes.com/1998/03/29/style/cuttings-oh-that-brazen-raucous-glorious-hibiscus.html,benign
24,escholarship.org/uc/item/5xt4952c,benign
25,songfacts.com/detail.php?id=13410,benign
26,casamanana.org/education/blba/,benign
27,http://hollywoodlife.com/2014/05/01/rihanna-iheartradio-music-awards-dress-2014-pics/,benign
28,http://www.marketingbyinternet.com/mo/e56508df639f6ce7d55c81ee3fcd5ba8/,phishing
29,en.wikipedia.org/wiki/North_Dakota,benign
30,soaps.sheknows.com/daysofourlives/news/id/20259/Days_Of_Our_Lives_Casts_Ruta_Lee/,benign
31,perfectpeople.net/celebrity-star/6920/gidget-gein.htm,benign
32,media.caltech.edu/press_releases/13186,benign
33,wikiobits.com/Obits/TonyProudfoot,benign
34,vanderbilt.rivals.com/viewcoach.asp?coach=2079&sport=1&year=2011,benign
35,http://peluqueriadeautor.com/index.php?option=com_virtuemart&page=shop.browse&category_id=31&Itemid=70,defacement
36,movies.yahoo.com/shop?d=hv&cf=info&id=1800340831,benign
37,cyndislist.com/us/pa/counties,benign
38,http://www.824555.com/app/member/SportOption.php?uid=guest&langx=gb,malware
39,http://www.raci.it/component/user/reset.html,defacement
40,https://docs.google.com/spreadsheet/viewform?formkey=dGg2Z1lCUHlSdjllTVNRUW50TFIzSkE6MQ,phishing
41,psychology.wikia.com/wiki/Phonemes,benign
42,info.centriq.com/content/fivereasons,benign
43,articles.baltimoresun.com/1991-06-11/sports/1991162162_1_james-koehler-texas-rangers-terrell-lowery,benign
44,infinitysw.com/,benign
45,strawberrycreekgardens.com/,benign
46,http://earth-sure.com/industrial-tech/everlast-impact-resistant-dumpster-enclosure,defacement
47,spoke.com/dir/p/desantis/nick,benign
48,wordsmith.org/words/pignus.html,benign
49,http://interpark.com/displaycorner/FreeMarket.do?_method=itemCateList&free1=pc&free2=007001008003&free3=item&disp_no=007001008003,benign
50,http://www.newtec.ac.uk/courses/health-and-social-care/level-2-diploma-in-health-a-social-care-.html,defacement
51,http://www.kingsmillshotel.com/spring/mothers-day,defacement
52,almanac.logos.com/Denominations,benign
53,gaming.wikia.com/wiki/Backbreaker_(video_game),benign
54,ceu.hu/,benign
55,registry.weddingchannel.com/coupledir/20108/C/R314763282/JARED_CLOUGH_AND_TAJAI_RITCHIE.htm,benign
56,linkedin.com/pub/george-cleveland/7/80a/599,benign
57,sunshinemills.com/,benign
58,agoda.com/north_america/canada/montreal_qc/attractions/hotels_near_mcgill_university_centre_for_continuing_education.html,benign
59,ctv.ca/generic/WebSpecials/sponsorship_scandal/,benign
60,http://www.approvi.com.br/ck.htm,defacement
61,http://www.shaborooz.ir/index.php?view=article&catid=7:1390-01-27-09-09-55&id=23:1390-04-12-08-07-33&tmpl=component&print=1&layout=default&page=&option=com_content&Itemid=2,defacement
62,veoox.com/tags/game.html,benign
63,chuckwalkertrio.blogspot.com/,benign
64,aerosolesshoes.org/,benign
65,http://www.juventudelirica.com.br/index.html,defacement
66,http://www.myenrg.com/southwest/9-texas,defacement
67,recipelink.com/msgbrd/board_14/2007/DEC/29094.html,benign
68,http://www.musimagen.com/lista_socios.php?letra=\303%91,defacement
69,ideas.repec.org/f/pma235.html,benign
70,peopleaz.org/firstname/Fowlkes/6,benign
71,orensamtraktrip.wordpress.com/,benign
72,retajconsultancy.com,phishing
73,alexa.com/whatshot?q=james+arness,benign
74,jpopasia.com/group/arashi/discography/,benign
75,kitsapsun.com/photos/2011/feb/25/177999/,benign
76,local.yahoo.com/info-42862457-oakland-international-airport-oakland,benign
77,tripadvisor.com/Restaurant_Review-g680765-d1768647-Reviews-Yacha_Yacha-Miyakojima_Okinawa_Prefecture_Kyushu_Okinawa.html,benign
78,articles.elitefts.com/articles/training-articles/five-great-exercises-for-building-a-dominant-defensive-lineman/,benign
79,broadwaystars.com/classic/?source=www.playbill.com,benign
80,http://www.pn-wuppertal.de/links/2-linkseite/5-httpwwwkrebshilfede,defacement
81,forums.networkinfrastructure.info/motorola-wireless-lan-switches/,benign
82,youtube.com/watch?v=mwpoPQ1SPJU,benign
83,mccall-idchamber.org/,benign
84,chacha.com/question/who-said-the-quote-%27say-what-you-mean%2C-mean-what-you-say-and-put-a-beat-to-it%27,benign
85,friars.com/sports/m-baskbl/archive/prov-m-baskbl-2003.html,benign
86,http://asociacionkaribu.org/index.php/servicios/centro-jambo,defacement
87,http://www.martin-busker.de/administrator/help/en-GB/css/Facture/c4d12146ebce8e1684d3542308399779/8fa39dab95edb1b676b638a672278eae/particuliers-45636.php,phishing
88,pipl.com/directory/name/Whissell/180,benign
89,spokeo.com/John+Collet,benign
90,http://www.parafiapiaski.pl/index.php?option=com_user&view=remind,defacement
91,http://fanpage.gr/family/gineka/%ce%b1%cf%85%cf%84%ce%bf%ce%af-%ce%b5%ce%af%ce%bd%ce%b1%ce%b9-%ce%bf%ce%b9-13-%cf%89%cf%81%ce%b1%ce%b9%cf%8c%cf%84%ce%b5%cf%81%ce%bf%ce%b9-%ce%ad%ce%bb%ce%bb%ce%b7%ce%b,benign
92,faqs.org/copyright/handbook-for-the-individual-or-group-culture-free/,benign
93,duckduckgo.com/1/c/Roman_Catholic_cathedrals_in_Canada,benign
94,alexpay2.beget.tech,phishing
95,http://worldoftanks.ru/ru/content/guide/payments_instruction/mobile-payments-rostelekom-ural-utel/,benign
96,http://www.artedesignsas.it/catalogo.html?page=shop.browse&category_id=14,defacement
97,en.wikipedia.org/wiki/Lloyd_Bacon,benign
98,http://serverfault.com/questions/682832/squid-transparent-https-certificate-error-ssl-error-bad-cert-domain,benign
99,http://www.viamanaus.com.br/index.php?option=com_wrapper&view=wrapper&Itemid=297,defacement
100,ciajfk.com/harold.html,benign
101,http://www.protect-effect.nl/diensten/62-telefonie,defacement
102,indyweek.com/artery/archives/2011/10/07/come-back-to-the-1980s-at-the-escapism-film-festival-which-begins-friday,benign
103,linkedin.com/pub/charles-gariepy/2/642/28,benign
104,http://www.gst-ukraine.com.ua/ukraine/tours/2754-arboretum-alexandria-sofiyivka,defacement
105,facebook.unitedcolleges.net,phishing
106,http://www.bimabn.com/1-configurazione-supporto-apple.store-contatta/c/Apple-id/3d465e25b47e6bc23ae55f5de40e1bb1/,phishing
107,eyeappealoptometry.com/,benign
108,brophygen.com/,benign
109,icehockey.wikia.com/wiki/Dan_Blackburn,benign
110,gurufocus.com/news/116068/who-is-the-warren-buffett-of-canada-prem-watsa-of-fairfax-financial-ffh-or-paul-desmarais-of-power-corporation-of-canada-pow,benign
111,http://www.bg-ricevimenti.it/index.php/location/osteria-del-molo.html?fontstyle=f-smaller,defacement
112,stewstew.com/,benign
113,livingharvest.com/products/ice-cream-bars,benign
114,http://icicibank.com/Personal-Banking/offers/offer-detail.page?id=offer-readers-digest-magazine-offer-20150202203953555,benign
115,http://9779.info/%E5%84%BF%E7%AB%A5%E7%AB%8B%E4%BD%93%E7%BA%B8%E8%B4%B4%E7%94%BB/,malware
116,bleacherreport.com/articles/300242-doug-harvey-one-of-the-best-ever-to-play-the-game,benign
117,http://www.boeuf-soufflenheim.com/de.feed?type=rss,defacement
118,artfacts.net/it/istituzion/ms--muzeum-sztuki-lodz-2724/visione-generale.html,benign
119,parsippanysoccerclub.org/,benign
120,international.uiowa.edu/services/language/allnet/resources/languages/turkish.asp,benign
121,btscene.eu/verified-search/torrent/franco+piersanti/,benign
122,signature-editions.com/,benign
123,en.wikipedia.org/wiki/Blessed_by_a_Broken_Heart,benign
124,http://www.trenker-bestattungen.de/index.php?option=com_content&view=article&id=13&Itemid=14,defacement
125,national.ca/Bold-Thinking/NATIONAL-Publications.aspx,benign
126,halkbankparaf-para.com,phishing
127,http://motthegioi.vn/the-gioi-cuoi/clip-dai-gia-mac-ca-voi-co-ban-banh-my-185682.html,benign
128,metroactive.com/papers/metro/01.29.98/idiotflesh-9804.html,benign
129,https://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E3%82%A2%E3%83%8B%E3%83%A1%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FwjfL4fhPp1lPxTZb+%E3%82%A2%E3%83%AA%E3%82%B5%E5%86%8D,benign
130,http://correios.com.br/para-sua-empresa/comunicacao/certificados-digitais/ajuda-interativa/informacoes-sobre-a-baixa-dos-certificados-a1,benign
131,http://olx.ro/i2/electronice-si-electrocasnice/electrocasnice/masini-de-cusut/gtm.start,benign
132,http://www.aba-diagnostic.com/espace-prive/reset.html,defacement
133,msn.foxsports.com/nhl/player/yann-sauve/720461,benign
134,hallmark.businessgreetings.com/,benign
135,musicstack.com/records-cds/toni+tony+tone,benign
136,nudecelebsnow.com/tags/1/victoria+justus.htm,benign
137,http://www.paoarapanui.cl/index.php?option=com_contact&view=contact&id=1&Itemid=6,defacement
138,worldwrestlinginsanity.com/am2/publish/ringofhonorlive/roh_sinclair_tv2.shtml,benign
139,http://www.designeremdoces.com/components/com_contact/ggdrives/,phishing
140,http://slashdot.org/submission/2916707/facebook-to-include-profile-photos-in-its-facial-recognition-database,benign
141,facebook.com/people/Yui-Takeshita/100001611015714,benign
142,sportsposterwarehouse.com/items_388__grandprixclassicscoll.html,benign
143,padmapper.com/search/apartments/Quebec/Montreal-est/,benign
144,mrskin.com/christina-ricci-nude-c868.html,benign
145,lip-service.com/webzine/tag/post-apocalyptic-fashion/,benign
146,http://www.tiendagnulinux.com.ar/calcomanias-en-vinilo?page=shop.browse&category_id=52,defacement
147,http://chelurao.ru/index.php?option=com_content&view=article&id=9&Itemid=10&lang=ru,defacement
148,linkedin.com/pub/dir/elizabeth/scarborough,benign
149,cqgcr.ca/ang/producer01.php,benign
